neighbourhood,room_type,price,number_of_reviews,calculated_host_listings_count,host_type
Leonidas,Entire home/apt,60.0,503,1,Single-listing Host
Bywater,Entire home/apt,150.0,312,1,Single-listing Host
Marigny,Entire home/apt,79.0,642,3,Multi-listing Host
Seventh Ward,Entire home/apt,69.0,752,1,Single-listing Host
St. Claude,Entire home/apt,48.0,506,1,Single-listing Host
Marigny,Private room,80.0,952,2,Multi-listing Host
Central City,Private room,,5,8,Multi-listing Host
Mid-City,Entire home/apt,76.0,143,1,Single-listing Host
Marigny,Private room,80.0,891,2,Multi-listing Host
Fillmore,Private room,,2,1,Single-listing Host
Treme - Lafitte,Entire home/apt,100.0,207,5,Multi-listing Host
Treme - Lafitte,Entire home/apt,150.0,290,5,Multi-listing Host
Marigny,Entire home/apt,425.0,127,2,Multi-listing Host
Marigny,Entire home/apt,79.0,604,3,Multi-listing Host
Treme - Lafitte,Entire home/apt,167.0,145,3,Multi-listing Host
French Quarter,Entire home/apt,175.0,80,1,Single-listing Host
Algiers Point,Entire home/apt,80.0,13,1,Single-listing Host
Bywater,Entire home/apt,145.0,573,1,Single-listing Host
Marigny,Entire home/apt,,428,1,Single-listing Host
Treme - Lafitte,Entire home/apt,160.0,181,25,Multi-listing Host
St. Thomas Dev,Entire home/apt,170.0,182,1,Single-listing Host
Bayou St. John,Entire home/apt,125.0,51,1,Single-listing Host
Fairgrounds,Entire home/apt,,146,2,Multi-listing Host
Audubon,Entire home/apt,,34,2,Multi-listing Host
French Quarter,Entire home/apt,150.0,224,1,Single-listing Host
Leonidas,Entire home/apt,99.0,93,1,Single-listing Host
Treme - Lafitte,Entire home/apt,359.0,80,1,Single-listing Host
Broadmoor,Entire home/apt,181.0,149,2,Multi-listing Host
Mid-City,Entire home/apt,164.0,107,18,Multi-listing Host
Lower Garden District,Entire home/apt,,85,1,Single-listing Host
Bywater,Entire home/apt,95.0,48,1,Single-listing Host
City Park,Entire home/apt,89.0,117,1,Single-listing Host
St. Roch,Private room,99.0,240,2,Multi-listing Host
St. Roch,Private room,99.0,315,2,Multi-listing Host
Mid-City,Private room,96.0,1132,1,Single-listing Host
St. Roch,Entire home/apt,89.0,290,2,Multi-listing Host
Mid-City,Private room,,217,18,Multi-listing Host
Mid-City,Private room,76.0,238,18,Multi-listing Host
Lower Garden District,Entire home/apt,,0,2,Multi-listing Host
Fillmore,Entire home/apt,120.0,388,1,Single-listing Host
Marigny,Entire home/apt,199.0,308,1,Single-listing Host
Bywater,Entire home/apt,128.0,620,1,Single-listing Host
Broadmoor,Entire home/apt,168.0,180,2,Multi-listing Host
Bayou St. John,Entire home/apt,250.0,97,1,Single-listing Host
Holy Cross,Entire home/apt,86.0,99,2,Multi-listing Host
Central City,Entire home/apt,137.0,64,4,Multi-listing Host
Central City,Entire home/apt,142.0,80,4,Multi-listing Host
Treme - Lafitte,Private room,49.0,153,1,Single-listing Host
Marigny,Entire home/apt,475.0,171,1,Single-listing Host
Leonidas,Entire home/apt,132.0,112,2,Multi-listing Host
Marigny,Entire home/apt,199.0,139,1,Single-listing Host
City Park,Entire home/apt,65.0,57,1,Single-listing Host
Central City,Entire home/apt,,77,4,Multi-listing Host
Marigny,Entire home/apt,125.0,209,1,Single-listing Host
St. Claude,Entire home/apt,,114,1,Single-listing Host
Central Business District,Entire home/apt,457.0,9,1,Single-listing Host
Uptown,Entire home/apt,313.0,28,1,Single-listing Host
Fairgrounds,Entire home/apt,110.0,69,2,Multi-listing Host
Audubon,Private room,84.0,322,2,Multi-listing Host
Audubon,Entire home/apt,299.0,43,3,Multi-listing Host
Audubon,Entire home/apt,199.0,33,3,Multi-listing Host
Treme - Lafitte,Entire home/apt,278.0,50,1,Single-listing Host
Central City,Entire home/apt,136.0,577,1,Single-listing Host
Uptown,Entire home/apt,,0,1,Single-listing Host
Freret,Entire home/apt,67.0,27,2,Multi-listing Host
Uptown,Entire home/apt,250.0,24,1,Single-listing Host
French Quarter,Entire home/apt,,15,1,Single-listing Host
Central City,Entire home/apt,118.0,372,44,Multi-listing Host
Audubon,Private room,,300,2,Multi-listing Host
Lower Garden District,Entire home/apt,50.0,7,5,Multi-listing Host
Holy Cross,Entire home/apt,120.0,160,1,Single-listing Host
Treme - Lafitte,Entire home/apt,202.0,398,2,Multi-listing Host
Lower Garden District,Private room,,55,1,Single-listing Host
St. Claude,Entire home/apt,78.0,289,2,Multi-listing Host
Broadmoor,Entire home/apt,346.0,58,1,Single-listing Host
Bayou St. John,Entire home/apt,364.0,126,2,Multi-listing Host
Garden District,Private room,102.0,659,3,Multi-listing Host
Garden District,Private room,96.0,583,3,Multi-listing Host
Garden District,Private room,115.0,852,3,Multi-listing Host
Lower Garden District,Entire home/apt,205.0,261,3,Multi-listing Host
City Park,Entire home/apt,135.0,212,1,Single-listing Host
Marigny,Entire home/apt,337.0,242,5,Multi-listing Host
Central Business District,Entire home/apt,200.0,66,1,Single-listing Host
East Riverside,Entire home/apt,136.0,179,1,Single-listing Host
Lower Garden District,Entire home/apt,1185.0,57,1,Single-listing Host
Fairgrounds,Entire home/apt,375.0,178,2,Multi-listing Host
Audubon,Private room,,6,1,Single-listing Host
Lower Garden District,Entire home/apt,123.0,680,1,Single-listing Host
Fairgrounds,Entire home/apt,75.0,114,1,Single-listing Host
Treme - Lafitte,Entire home/apt,90.0,378,1,Single-listing Host
Holy Cross,Entire home/apt,299.0,1,2,Multi-listing Host
Lower Garden District,Entire home/apt,,129,1,Single-listing Host
Treme - Lafitte,Entire home/apt,117.0,360,5,Multi-listing Host
Treme - Lafitte,Entire home/apt,,200,1,Single-listing Host
Bayou St. John,Entire home/apt,91.0,387,1,Single-listing Host
Marigny,Private room,232.0,259,2,Multi-listing Host
Lower Garden District,Private room,109.0,205,2,Multi-listing Host
Bywater,Entire home/apt,66.0,79,1,Single-listing Host
Lake Terrace & Oaks,Entire home/apt,,61,2,Multi-listing Host
Lower Garden District,Private room,125.0,152,2,Multi-listing Host
Bywater,Entire home/apt,128.0,357,1,Single-listing Host
Treme - Lafitte,Entire home/apt,50.0,199,1,Single-listing Host
City Park,Entire home/apt,246.0,120,1,Single-listing Host
Treme - Lafitte,Entire home/apt,135.0,329,2,Multi-listing Host
Holy Cross,Entire home/apt,,6,2,Multi-listing Host
Marigny,Entire home/apt,579.0,214,2,Multi-listing Host
Mid-City,Private room,,3,1,Single-listing Host
Lower Garden District,Entire home/apt,44.0,58,5,Multi-listing Host
St. Claude,Entire home/apt,97.0,560,1,Single-listing Host
Bayou St. John,Entire home/apt,176.0,62,1,Single-listing Host
Central City,Entire home/apt,208.0,14,2,Multi-listing Host
Treme - Lafitte,Entire home/apt,140.0,155,25,Multi-listing Host
Bywater,Entire home/apt,197.0,294,1,Single-listing Host
Algiers Point,Private room,99.0,487,2,Multi-listing Host
Bayou St. John,Entire home/apt,,195,2,Multi-listing Host
Central City,Entire home/apt,350.0,78,1,Single-listing Host
